ECRITCOMPTAARTICLE,Écriture comptable article,32,

N° séquence,N° article,N° origine,Quantité
1022,PI028,C0701,1000
1023,RO097,C0598,-90
1024,70287,C0598,-17
1025,70303,C0397,-100
1026,BA030,C0397,-40
1027,MU007,C0397,-20
1028,70316,C0397,-14.65
1029,RO097,C0397,-30
1030,70316,C0526,-73.95
1031,70306,C0408,-60
1032,70287,C0408,-15
1033,RO097,C0408,-200
1034,70290,C0408,-139.7
1035,70316,C0408,-13.6
1036,70309,C0704,-59.45
1037,CA034,C0704,-61.79
1038,CA008,C0704,-30
1039,RO097,C0704,-30
1040,MU007,C0704,-40
1041,70290,C0704,-33.06
1042,70310,C0495,-226.44
1043,PI028,C0495,-30
1044,BA030,C0495,-40
1045,70303,C0508,-260
1046,RO097,C0508,-30
1047,RO097,C0704,-30
1048,70303,C0507,-280
1049,RO097,C0507,-20
1050,BA030,C0507,-20
1051,MU007,C0504,-100
1052,70309,C0504,-20.84
1053,BA030,C0504,-20
1054,70309,C0707,-18.65
1055,70300,C0708,-109.81
1056,PI028,C0708,-70
1057,BA030,C0708,-20
1058,70309,C0507,-18.5
1059,70309,C0500,-104.66
1060,70303,C0409,-40
1061,70309,C0409,-41.64
1062,MU007,C0409,-20
1063,PI028,C0468,-70
1064,RO097,C0468,-10
1065,70291,C0468,-15
1066,70316,C0671,-73.75
1067,PI028,C0391,-20
1068,70309,C0391,-42.1
1069,70309,C0418,-41.2
1070,PI028,C0418,-30
1071,PI028,C0414,-40
