SEGMENTATION_MARCHE,Client,18
C1192,Marché Marcory ,Abidjan 
C1193,Grand Marché koumassi ,Abidjan 
C1194,Marché Bacongo,Abidjan 
C1195,Bingerville,Abidjan 
C1196,Adjamé Mché Forum,Abidjan
C1197,Port,Abidjan 
C1198,Marché siporex,Abidjan 
C1199,Marché siporex ,Abidjan 
C1200,Marché belleville,Abidjan 
C1201,,
C1202,Marché Belleville (Treichville),
C1203,Marché Songon ( nouvelle gare),Abidjan
C1204, Marcory( sans-fil),Abidjan
C1205,Yopougon Selmer,Abidjan
C1206,Bianoua,Aboisso 
C1207,Adjawi ,Abidjan
C1208,Yamoussokro nouveau marché,Yammousokro
C1209,,
C1210,Grand March Treichville,Abidjan 
C1211,Koumassi mché Poulet,
C1212,Koumassi,Abidjan 
C1213,Marché Abobo,Abidjan 
C1214,Soweto,Abidjan 
C1215,Yopougon,Abidjan
C1216,Bonoua,Bonoua
C1217,Yopougon,Abidjan 
C1218,Adjahui,Abidjan 
C1219,Yopougon Wassakara,Abidjan 
C1220,Marché (Sans fil),Abidjan 
C1221,Aboisso ,Koukourandoumi
C1222,Gd Lahou,
C1223,Mafere Baffia,Aboisso 
C1224,,
C1225,,
C1226,,
C1227,,
C1228,ABOBO,
C1229,,
C1230,,
C1231,,
C1232,YOPOUGON,
C1234,Vridi,
C1235,,
C1236,,
C1237,Abobo Gd Mché,Abidjan
C1238,,
C1239,,
C1240,,
C1241,Vridi,
C1242,Vridi,
C1243,,
C1244,,
C1245,,
C1246,,
C1247,,
C1248,Vridi,
C1249,Vridi,
C1250,Vridi,
C1251,Vridi,
C1252,Vridi,
C1253,Marcory Grand marché ,Abidjan 
C1254,Vridi,
C1255,Vridi,
C1256,Vridi,
C1257,Vridi,
C1258,Vridi,
C1259,Yopougon toit rouge,Abidjan 
C1260,Vridi,
C1261,Yopougon Koweït ,
C1262,Vridi,Abidjan
C1263,Vridi,
C1264,Vridi,Abidjan
C1265,Vridi,Abidjan 
C1266,Adjamé ,Abidjan 
C1267,Vridi,
C1268,Vridi,
C1269,Yop,Abidjan 
C1270,Abidjan ,
C1271,,
C1272,Vridi,
C1273,Vridi,
C1274,Vridi,
C1275,Vridi,
C1276,Vridi,
C1277,Vridi,
C1278,Koumassi(Marché Bacongo),Abidjan
C1279,Aboisso,
C1280,GRAND MARCHE KOUMASSI,
C1281,,
C1282,Adjawi,
C1283,2 plateaux Bleu Marine,Abidjan
C1284,Treichville,
C1285,Grd Marche Abobo,
C1286,Gonzague ,Abidjan 
C1287,Yopougon sicogie,Abidjan 
C1288,Soweto,
C1290,Maferé,
C1291,Adjamé,
C1292,Gonzague (Jean Folli),
C1293,Adjawi,
C1294,Mrche de port bouët,
C1295,Mrche camp militaire,
C1296,Mrche Vridi Canal,
C1297,Mrche Anoumanbo,
C1298,Gare de bassam,
C1299,Faya Cité sir,
C1301,Yopougon Carrefour Niangon,
C1302,Abidjan,Marché Anoumanbo 
C1303,Adjamé marché gouro,
C1304,Yopougon Camp Militaire ,Abidjan 
C1305,Koumassi Soweto ,Abidjan 
C1306,Yopougon Niangon à gauche Carrefour marché,
C1307,Grand-Bassam,
C1308,Marcory Centre,
C1309,Nouveau Marché Ananeraie,
C1310,Cocody Allocodrome,
C1311,Yopougon(Zone industrial) ,Abidjan
C1312,Grand Marché Abobo,
C1313,Angre CGK,Abidjan
C1314,,
C1315,Grand marche de marcory,Abidjan
C1316,Palmeraie carrefour Guiaud,
C1317,Marché de port -Bouet,
C1318,Marché Sanfil,
C1319,Yopougon Marché Sicogi,
C1320,Marché de Marcory,
C1321,Vridi Cité,
C1322,Marché Niangon à gauche,
C1323,Grand Marché Marcory ,Abidjan 
C1326,Marché de Selmer ,
C1327,Marché d'anono,
C1328,Marché Cocovico,
C1329,Vridi 3,
C1330,Grand Moulin,
C1331,Petit Bassam,
C1332,Gonzague Marché Français,
C1333,Marcory,Abidjan
C1334,Tulipe,
C1335,marché Anono,
C1336,30BP745ABJ30,Abidjan
C1337,Marché derrière wharf,
C1338,Daoukro,Daoukro
C1339,Yopougon Maroc,
C1340,San Pedro ,San Pedro 
C1341,Plateau Dokui,
C1342,Marché Belle Ville de Treichville,
C1343,Meagui ,Meagui 
C1345,Abobo grand marché ,Abidjan 
C1346,Adjame,
C1347,Abobo Gd Mché,Abidjan 
C1348,Koumassi marché,
C1349,Ancien koumassi ,Abidjan 
C1350,,
C1351,Port bouet (marché),Abidjan 
C1352,Adjame Forum,Abidjan 
C1353,Bietry,
C1354,Bietry,
C1355,Marché de port bouët,
C1356,Adjamé Marché Gouro,
C1357,Port bouet,
C1358,Koumassi marché,
C1359,Toliessso,Maferi 
C1360,Koumassi ,Abidjan 
C1361,Marché D'Anono,
C1362,Yopougon siporex,
C1363,Abobo San manqué,
C1364,Anoumanbo ,Abidjan
C1365,Gd Mché Treichville,Abidjan
C1366,Port bouet Marché Adjoufou,Abidjan 
C1367,Ancien Koumassi,Abidjan
C1368,Marché de djè konan,
C1369,Jean folly,
C1370,Riviera Anono,
C1371,Adjawi marché,Abidjan
C1372,Grand Marché Treichville ,Abidjan 
C1373,Maferé ,
C1374,Adjamé ,Abidjan
C1375,Adjamé marché Gouro,Abidjan
C1376,Marcory Orca deco,Abidjan
C1377,Marché Treichville ,Abidjan 
C1378,,
C1379,Ouragahio ,Gagnoa
C1380,Adiake,Adiake
C1381,Vridi 3,
C1382,Camp militaire Yopougon,Abidjan
C1383,Trechville ,Abidjan 
C1384,Abobo Dokui,
C1385,,
C1386,Port BOUET MARCHE DE NUIT,Abidjan 
C1387,Marche  de marcory,
C1388,Vridi Canal,
C1389,Petit Marché Marcory ,Abidjan 
C1390,Port de pêche,
C1391,Yopougon Andokoi,
C1392,Marché Grand carrefour ,Abidjan
C1393,Grand marchè de marcory ,
C1394,Grand Marché Treichville ,Abidjan 
C1395,Marché de Djekonan,Abidjan
C1396,Au port ,Abidjan 
C1398,Yopougon,
C1399,Abobo grand Marché ,
C1400,Marché de port Bouët,
C1401,Kouakro,Aboisso 
C1402,Mché Bagnon Yopougon,
C1403,,
C1404, Yopougon sicogi,Abidjan 
C1405,Yopougon port boue 2,Abidjan
C1406,Abidjan,
C1407,Adjamé Mché Gouro,
C1408,Yopougon zone ,Abidjan 
C1409,Adjahui ,Abidjan 
C1410,Au port,Abidjan 
C1412,Port Bouët Abattoir,
C1413,Tiassalé,
C1414,Alépé,Abidjan
C1415,Grande Marché Koumassi ,Abidjan 
C1416,Marché Treichville ,Abidjan 
C1417,Marché de vridi canal,
C1418,Marché Yopougon ,Abidjan 
C1419,Yamoussoukro gd Marché,
C1420,Angre,Abidjan 
C1421,Marché Sideci ,Abidjan 
C1422,Marché Yopougon ,Abidjan 
C1423,,
C1424,Port-Bouet,Abidjan
C1425,Treichville(marché belleville),Abidjan 
C1426,,Abidjan
C1427,Marché de port bouët,
C1428,Adjamé marché gouro,Abidjan
C1430,Marché Akouedo,Abidjan 
C1431,Abobo Gd Mché,Abidjan 
C1432,Adjouffou Marché ,Abidjan 
C1433,Bonoua,
C1434,Bassam ,Bassam 
C1435,Yopougon camp militaire ,Abidjan
C1436,,
C1437,Port Bouet gonzague,
C1438,Marché Abobo,Abidjan 
C1439,Marché Marcory,Abidjan 
C1440,Abidjan,Porte bouet
C1441,Zone 4,Abidjan 
C1442,Mche Vridi Canal,
C1443,Angré Château,
C1444,,
C1445,Assinie,
C1446,Port bouet,Abidjan 
C1447,Abobo (agripaque),Abidjan 
C1448,Bonoua,
C1449,Yopougon,
C1450,Mafere ,
C1451,Vridi,
C1452,Bonoua,
C1453,Jean folly,
C1454,Jean Folly,Abidjan 
C1455,Port bouet,
C1456,Port bouet,
C1457,Riviera palmeraie ,
C1458,Bingerville,
C1459,Bouaké,
C1460,Bouaké,
C1461,Zone 4,
C1462,Abobo kennedy,Abidjan
C1463,Marché Abobo ,Abidjan 
C1464,Burkina Faso,
C1465,Au port ,Abidjan 
C1466,Vridi canal,
C1467,Abobo,
C1468,Abattoir,
C1469,Vridi Canal,
C1470,Abobo,
C1471,Bonoua,
C1472,Riviera Anono,
C1473,Zone 4,Abidjan
C1474,Adjame,Abidjan 
C1475,Au Port ,Abidjan 
C1476,Petit marché de Bassam,Grand Bassam
C1477,Au Port,Abidjan 
C1478,Korogho ,Korogho 
C1479,Gonzague belle ville,
C1480,Yopougon Palais ,Abidjan
C1481,Au Port,Abidjan
C1482,Yopougon,
C1483,Gonzague (Adjoufou),Abidjan 
C1484,Zone 4,Abidjan
C1485,Zone 4 ,Abidjan
C1486,Marche Adjame,Abidjan 
C1487,Adjamé complexe,Abidjan
C1488,Marchè adjamè forum ,
C1489,Marche Bonoua,Bonoua
C1490,Faya,
C1491,Plateau dokui ,
C1492,Marché Cocovico,Abidjan
C1493,Bonoua,Bonoua
C1494,Abobo Gd Mché,Abidjan
C1495,Adjawi ,Abidjan
C1496,Grand port,
C1497,Marché terre rouge,
C1498,Gd Mché koumassi,Abidjan
C1499,Cité grand moulin ,
C1500,Abobo Gd Mché,Abidjan
C1501,Terre rouge,
C1502,Ayaman Grand Marché ,Abidjan
C1503,Kouassi Soweto,Abidjan
C1504,Treichville,
C1505,Gare de bassam,Abidjan 
C1506,Marché de bonoua,
C1507,Marcory,Abidjan
C1508,Bonoua,Bonoua
C1509,Koumassi Campement,Abidjan
C1510,Treichville,
C1511,Marché de koumassi,
C1512,Bonoua,
C1513,Riviera ciad,Abidjan 
C1514,Vridi Petit Bassam ,Abidjan 
C1515,Marche bonoua ,
C1516,Gd Mché Abobo,
C1517,Marché d’Aboisso,Aboisso
C1518,Abobo PK18,Abidjan 
C1519,Marché terre rouge,
C1520,Marché de Port Bouët,
C1521,Bietry,
C1522,Bonoua Yaou ,Abidjan 
C1523,,
C1524,Marché Adjahui,
C1525, Gonzague,Abidjan 
C1526,Treichville zone2,Abidjan
C1527,Marché 2 Plateau,
C1528,,Bonoua
C1529,Derriere Waff,Abidjan
