SEGMENTATION_MARCHE,Client,18
C0565,Cocody anono marché,Abidjan
C0566,Abobo marché,Abidjan
C0567,Cocody marché,Abidjan
C0568,Marcory,Abidjan
C0569,Bonoua,Bonoua
C0570,Bassam Gd Mché,Bassam
C0571,Treichville,Abidjan
C0572,Treichville,Abidjan
C0573,Koumassi Gd Mché ,Abidjan 
C0574,Adjame marché Black,Abidjan
C0575,Yopougon Sicogi marché,Abidjan
C0576, Gd mché Abobo,Abidjan
C0577,Koumassi,Abidjan
C0578,Koumassi Gd Mché ,Abidjan 
C0580,Adjame forum,Abidjan
C0581,Adjame Forum,Abidjan
C0582,Treichville Belleville,Abidjan
C0583,Adjame forum,Adjame
C0584,Adjahui,Ville
C0585,Treichville belle ville,Abidjan
C0586,Kssi Soweto,Abidjan
C0587,Abobo Gd Mché ,Abidjan 
C0588,Bassam marché,
C0590,Bassam,Bassam
C0591,Port Bouet,Abidjan
C0593,Azaguie Gd Mché,Abgoville
C0594,Koumassi Grd Marché,Abidjan
C0595,Koumassi Grd Marché,Abidjan
C0596,Port Bouet marché,Abidjan
C0597,YOPOUGON,
C0598,Abobo Marché,Abidjan
C0599,Bassam Gd Mché,Bassam
C0600,Dabou,Dabou
C0601,Port Bouet jean folly,Abidjan
C0602,Port Bouet marché,
C0604,Dabou,Dabou
C0605,Koumassi sans fil,Abidjan
C0606,Port Bouet marché,Abidjan
C0607,Yopougon Ananeraie,Abidjan
C0608,Adjamé Habita Latin,Abidjan
C0609,Koumassi grand carrefour,Abidjan
C0610,Koumassi Campement ,Abidjan 
C0611,Port Bouet,Abidjan
C0612,Attecoube,Abidjan
C0613,Bassam,Grand bassam
C0614,Mafere,Aboisso
C0615,Yopougon andokoua,Abidjan
C0616,Soubré,Soubré 
C0617,Adjahui,Abidjan
C0618,Marcory anoumabo,Abidjan
C0619,Adjamé Forum,Abidjan 
C0620,Koumassi Gd Mché ,Abidjan 
C0621,Koumassi Campement,Abidjan
C0622,Bonoua,Bonoua
C0623,Bonoua,Bonoua
C0625,Gonzague ville,Abidjan
C0626,Port Bouet marché,Abidjan
C0627,Marcory Gd Mché ,Abidjan 
C0628,Bassam Gd Mché,Bassam
C0629,Abobo Gd Mché ,Abidjan 
C0630,Abobo Gd Mché ,Abidjan 
C0631,Abobo,Abidjan 
C0632,Yopougon Sicogi,Abidjan 
C0633,Adjamé Mché Gouro,Abidjan 
C0634,Grand bassam,Grand bassam
C0635,Assinie Mafia,Abidjan
C0636,Yopougon lokodjro,Abidjan
C0637,Yopougon Gesco,Abidjan
C0638,Grand bassam Modeste,Grand bassam
C0639,Koumassi grand marché,Abidjan
C0640,Grand bassam Vas y voir,Bassam
C0641,Port Bouet marché,Abidjan
C0642,Akoupe Marché,
C0643,Abobo Bokabo,Abidjan
C0644,Koumassi remblais,Abidjan
C0645,Koumassi Sans Fil Marché,Abidjan
C0646,Koumassi,Abidjan
C0647,Yopougon camp militaire,Abidjan
C0648,Marcory Marché Anoumanbo ,Abidjan
C0649,Marcory Grand marché,Abidjan
C0650,Adjamé Mché Gouro(St Michel),Abidjan
C0651,Koumassi,Abidjan
C0652,Yopougon Micao,Abidjan
C0653,GRAND MARCHE ABOBO,
C0654,Marcory Marché Sans fil,Abidjan
C0655,Adjame  Marché Williams Ville ,Abidjan
C0656,Attecoube Marché,Abidjan
C0657,Maféré,Aboisso
C0658,Ouaga,Ouaga
C0659,Dabou Marché,
C0660,Dabou Marché,Dabou
C0661,Yopougon Koweit,Abidjan 
C0662,Bassam,Bassam
C0663,Port Bouet,Abidjan
C0664,Dabou,Dabou
C0665,Port Bouet ,Abidjan
C0666,Treichville marché,Abidjan
C0667,Abobo Gd Mché ,Abidjan 
C0668,Treichville Gd Mché ,Abidjan 
C0669,Marcory Anoumanbo ,Abidjan
C0670,Divo,Divo
C0671,Port Bouet,Abidjan 
C0672,Marcory Anoumanbo,Abidjan
C0673,Yopougon Wassakara,Abidjan
C0674,Adjouffou Marché,Abidjan
C0675,Koumassi Inchallah,Abidjan 
C0676,Yopougon Sicogi,Abidjan 
C0677,Koumassi Gd Mché ,Abidjan 
C0678,Yopougon Koweït,Abidjan
C0679,Marché Bonoua,Bonoua
C0680,Dimbokro,Dimbokro
C0681,Divo,Divo
C0682,Yopougon Siporex marché gouro,Abidjan
C0683,Bonoua,Bonoua
C0684,Aboisso,Aboiso
C0685,Dabou,Dabou
C0686,Bonoua,Bonoua
C0687,Dabou,Dabou
C0688,Port Bouet grand marché,Abidjan
C0689,Dabou,Dabou
C0690,Bonoua,Bonoua
C0691,Abobo Gd Mché,Abidjan 
C0692,Bianoua,Aboisso
C0693,Koumassi Soweto,Abidjan 
C0694,Bonoua Gd Mché,Bonoua
C0695,Yopougon Maroc,Abidjan 
C0696,Yopougon Siporex,Abidjan 
C0697,Koumassi campement,Abidjan
C0698,Bonoua ,Bonoua 
C0699,Koumassi inchallah,Abidjan
C0700,Koumassi Campement,Abidjan
C0701,Adjamé Mché Gouro,Abidjan 
C0702,Marché Campement,Abidjan
C0704,Aboisso,Aboisso
C0705,Divo,Daloa
C0706,Yopougon,Abidjan
C0707,Koumassi anoumabo,Abidjan
C0708,Mafere,Mafere 
C0709,,
C0710,Adjawi Marché,Abidjan
C0711,Attecoube,Abidjan
C0712,N'Douci,Tiassale
C0713,Aboisso,Aboisso
C0714,Abobo Gd Mché ,Abidjan 
C0715,Dabou Marché,Dabou
C0717,Dabou,Abidjan
C0718,Bassam,Bassam
C0719,Angre Marché Valentin,Abidjan
C0720,Abobo Gd Mché ,Abidjan 
C0721,Yopougon,Abidjan
C0722,Port de Pêche,Abidjan
C0723,Bouafle,Bouafle
C0724,Marcory Gd Mché ,Abidjan 
C0725,Yamoussoukro,Yamoussoukro
C0727,Dabou,Dabou
C0729,...,
C0730,Koumassi marché djèkonan,Abidjan
C0731,Marcory Grand marché,Abidjan
C0732,Bonoua,Bounoua
C0733,bondoukou,bondoukou
C0734,Sikensi,Sikensi
C0735,Adjawi Marché,Abidjan
C0736,Aboisso,Aboisso 
C0737,Abobo Gd Mché ,Abidjan 
C0738,koumassi djèkonan,Abidjan 
C0739,adjahui,Abidjan 
C0740,Port Bouet Adjahui,Abidjan 
C0741,Grand Bassam,Grand Bassam
C0742,Grand Bassam,Grand Bassam 
C0743,Grand Bassam ,Grand Bassam 
C0744,Assinie Mafia,Assinie Mafia
C0745,Yopougon Selmer,Abidjan 
C0746,Grand Bassam ,Grand Bassam 
C0747,Yopougon marché Bayon,Abidjan 
C0748,Bingerville,Abidjan 
C0749,Yopougon Wassakara ,Abidjan
C0750,Koumassi Campement ,Abidjan 
C0752,Yopougon Marché Bagnon,Abidjan
C0753,Daloa,Daloa
